<PAD>,0
lmaonice,1
1,2
hope,3
you,4
are,5
having,6
a,7
good,8
week,9
just,10
checking,11
in,12
erm,13
i,14
thought,15
the,16
contract,17
ran,18
out,19
the4th,20
of,21
october,22
hey,23
there,24
glad,25
u,26
r,27
better,28
now,29
hear,30
treated,31
urself,32
to,33
digi,34
cam,35
is,36
it,37
we,38
off,39
at,40
9pm,41
have,42
fab,43
new,44
year,45
c,46
coupla,47
wks,48
and,49
picking,50
them,51
up,52
from,53
various,54
points,55
nooooooo,56
im,57
gonna,58
be,59
bored,60
death,61
all,62
day,63
cable,64
internet,65
outage,66
hi,67
baby,68
ive,69
got,70
back,71
work,72
was,73
wanting,74
see,75
allday,76
didnt,77
piss,78
on,79
phone,80
today,81
if,82
give,83
me,84
call,85
xxx,86
ard,87
4,88
lor,89
but,90
really,91
broke,92
oh,93
no,94
amount,95
too,96
small,97
even,98
ltgt,99
university,100
southern,101
california,102
yeah,103
my,104
diet,105
flew,106
window,107
jay,108
wants,109
first,110
hows,111
sound,112
watching,113
cartoon,114
listening,115
music,116
amp,117
eve,118
had,119
go,120
temple,121
church,122
what,123
about,124
todays,125
offer,126
claim,127
ur,128
ï¿½150,129
worth,130
discount,131
vouchers,132
text,133
yes,134
85023,135
savamob,136
member,137
offers,138
mobile,139
t,140
cs,141
08717898035,142
ï¿½300,143
sub,144
16,145
unsub,146
reply,147
x,148
poyyarikaturkolathupalayamunjalur,149
posterode,150
dis,151
six,152
chances,153
win,154
cash,155
100,156
20000,157
pounds,158
txt,159
csh11,160
send,161
87575,162
cost,163
150pday,164
6days,165
tsandcs,166
apply,167
hl,168
info,169
thanks,170
for,171
this,172
hanks,173
lotsly,174
car,175
house,176
parentsi,177
only,178
job,179
hand,180
gei,181
that,182
happend,183
tron,184
maybe,185
ill,186
dl,187
3d,188
when,189
its,190
thats,191
cool,192
come,193
by,194
like,195
ish,196
night,197
has,198
ended,199
another,200
morning,201
special,202
way,203
may,204
smile,205
sunny,206
rays,207
leaves,208
your,209
worries,210
blue,211
bay,212
gud,213
mrng,214
does,215
cinema,216
plus,217
drink,218
appeal,219
tomo,220
fr,221
thriller,222
director,223
mac,224
830,225
pls,226
comprehensive,227
mail,228
who,229
paying,230
how,231
much,232
nice,233
talking,234
please,235
dont,236
forget,237
pix,238
want,239
22,240
146tf150p,241
tried,242
contact,243
re,244
our,245
video,246
handset,247
750,248
anytime,249
any,250
networks,251
mins,252
unlimited,253
camcorder,254
or,255
08000930705,256
where,257
n,258
buy,259
juz,260
get,261
lar,262
sindu,263
birla,264
soft,265
dude,266
saw,267
parked,268
with,269
sunroof,270
popped,271
sux,272
sorry,273
later,274
lol,275
knew,276
him,277
dollar,278
store,279
am,280
inches,281
long,282
big,283
aight,284
been,285
set,286
free,287
think,288
could,289
blakes,290
address,291
occurs,292
not,293
quite,294
as,295
sure,296
doing,297
finished,298
yet,299
those,300
lmao,301
so,302
fun,303
remet,304
alex,305
nichols,306
middle,307
school,308
turns,309
hes,310
dealing,311
clothes,312
jewelry,313
trips,314
da,315
vijay,316
going,317
talk,318
jaya,319
tv,320
noe,321
did,322
ï¿½,323
specify,324
domain,325
nusstu,326
ï¿½ï¿½,327
still,328
sch,329
hello,330
hun,331
ru,332
here,333
2,334
dates,335
guy,336
met,337
walkabout,338
far,339
meet,340
soon,341
everyone,342
else,343
course,344
tease,345
know,346
simply,347
must,348
grins,349
do,350
keep,351
posted,352
prey,353
loving,354
devouring,355
kiss,356
ve,357
lovely,358
wisheds,359
rock,360
working,361
eyes,362
philosophy,363
will,364
bit,365
more,366
chat,367
brotherï¿½ï¿½ï¿½s,368
scraped,369
barrel,370
shower,371
social,372
misfits,373
awarded,374
city,375
break,376
ï¿½200,377
summer,378
shopping,379
spree,380
every,381
wk,382
88039skilgmetscs087147403231winawkage16ï¿½150perwksub,383
armand,384
says,385
ass,386
over,387
epsilon,388
after,389
quit,390
5,391
minutes,392
iouri,393
gave,394
number,395
wylie,396
ryans,397
friend,398
wont,399
b,400
christmas,401
enjoy,402
merry,403
xmas,404
07801543489,405
guaranteed,406
latests,407
nokia,408
40gb,409
ipod,410
mp3,411
player,412
ï¿½500,413
prize,414
wordcollect,415
no83355,416
tcllc,417
nyusa,418
150pmt,419
msgrcvd18,420
mystery,421
solved,422
opened,423
email,424
sent,425
batch,426
isnt,427
he,428
sweetie,429
once,430
home,431
sister,432
law,433
great,434
month,435
saying,436
abiola,437
kthen,438
wenever,439
lik,440
also,441
tel,442
vikky,443
getting,444
time,445
thk,446
50,447
shd,448
ok,449
said,450
minus,451
10,452
leave,453
line,454
between,455
paragraphs,456
bar,457
airport,458
satsgettin,459
447per,460
hour,461
means,462
lie,463
touch,464
breathing,465
down,466
neck,467
some,468
bud,469
anyway,470
youd,471
able,472
half,473
track,474
usf,475
tonight,476
real,477
tho,478
sucks,479
cant,480
cook,481
whole,482
electricity,483
hungry,484
wishing,485
family,486
mas,487
happy,488
advance,489
join,490
uks,491
horniest,492
dogging,493
service,494
can,495
sex,496
2nite,497
sign,498
follow,499
instructions,500
entry,501
69888,502
nytec2a3lpmsg150p,503
youdoing,504
sar,505
hot,506
live,507
fantasies,508
08707509020,509
20p,510
per,511
min,512
ntt,513
ltd,514
po,515
box,516
1327,517
croydon,518
cr9,519
5wb,520
0870,521
national,522
rate,523
won,524
award,525
ï¿½1000,526
cashto,527
08000407165,528
18,529
stop,530
getstop,531
88222,532
php,533
joking,534
wif,535
oni,536
private,537
2004,538
account,539
statement,540
07742676969,541
shows,542
786,543
unredeemed,544
bonus,545
08719180248,546
identifier,547
code,548
45239,549
expires,550
okay,551
problem,552
thanx,553
liked,554
photos,555
very,556
sexy,557
confirmed,558
staying,559
weekend,560
need,561
late,562
especially,563
one,564
class,565
missed,566
last,567
wednesday,568
probably,569
failed,570
test,571
friday,572
fast,573
approaching,574
wish,575
sankranti,576
republic,577
valentines,578
shivratri,579
ugadi,580
fools,581
independence,582
friendshipmotherfatherteacherschildrens,583
birthday,584
ganesh,585
festival,586
dasara,587
diwali,588
mornings,589
afternoons,590
evenings,591
nights,592
rememberi,593
theseyours,594
raj,595
xy,596
suggest,597
dun,598
wan,599
rain,600
leh,601
gd,602
download,603
many,604
ringtones,605
restrictions,606
1000s,607
choose,608
yr,609
buddys,610
sir,611
80082,612
ï¿½3,613
manky,614
scouse,615
boy,616
stevelike,617
travelling,618
bus,619
homewot,620
inmind,621
recreation,622
tomorrow,623
senthilhsbc,624
wat,625
tall,626
princess,627
2003,628
07973788240,629
800,630
s,631
m,632
08715203649,633
40533,634
311004,635
lot,636
happened,637
feels,638
quiet,639
beth,640
her,641
aunts,642
charlie,643
lots,644
helen,645
mo,646
gods,647
love,648
limit,649
grace,650
measure,651
power,652
boundaries,653
endless,654
blessings,655
always,656
life,657
ni8,658
well,659
mind,660
enough,661
gas,662
round,663
trip,664
barring,665
sudden,666
influx,667
correct,668
name,669
nothing,670
then,671
dinner,672
w,673
us,674
radio,675
times,676
finish,677
bath,678
goodfine,679
dear,680
loverboy,681
tell,682
look,683
picture,684
ache,685
feel,686
legs,687
fuck,688
crave,689
feeling,690
borrow,691
bag,692
k,693
why,694
whats,695
looks,696
found,697
something,698
other,699
than,700
smoke,701
company,702
goodenvironment,703
terrific,704
food,705
take,706
mark,707
distract,708
isaiahd,709
babe,710
chloe,711
smashed,712
saturday,713
missing,714
sp,715
visionsmscom,716
150ptext,717
wow,718
healthy,719
old,720
rd,721
anything,722
bathing,723
dog,724
sim,725
unsubscribe,726
mob,727
package,728
term,729
54,730
weeks,731
resubmit,732
request,733
expiry,734
themob,735
help,736
registered,737
subscriber,738
draw,739
ï¿½100,740
gift,741
voucher,742
entered,743
receipt,744
ans,745
next,746
olympics,747
80062,748
mon,749
sis,750
smth,751
darlin,752
wait,753
fran,754
ps,755
dirty,756
anal,757
man,758
gang,759
bang,760
yep,761
pink,762
furniture,763
loan,764
purpose,765
ï¿½75000,766
homeowners,767
tenants,768
welcome,769
previously,770
refused,771
0800,772
1956669,773
fighting,774
world,775
easy,776
either,777
lose,778
bt,779
fightng,780
some1,781
close,782
dificult,783
make,784
ne,785
plans,786
nxt,787
wknd,788
coz,789
she,790
2morro,791
passion,792
b4,793
09099726481,794
luv,795
dena,796
calls,797
ï¿½1minmobsmorelkpobox177hp51fl,798
spirit,799
bb,800
trying,801
exactly,802
ask,803
chechi,804
waiting,805
hmmmy,806
uncle,807
informed,808
directly,809
pretty,810
pussy,811
grand,812
prix,813
sleeping,814
p,815
lousy,816
sleep,817
kept,818
waking,819
hours,820
cat,821
wanted,822
worry,823
cold,824
makes,825
most,826
1st,827
no1,828
tone,829
8007,830
txting,831
mates,832
wwwgetzedcouk,833
pobox,834
36504,835
w45wq,836
norm150ptone,837
hppnss,838
drop,839
tear,840
sorrow,841
part,842
heart,843
mine,844
wil,845
care,846
forevr,847
goodfriend,848
went,849
fml,850
eatin,851
lunch,852
lab,853
goggles,854
5p,855
alfie,856
moons,857
children,858
song,859
m8s,860
charity,861
nokias,862
poly,863
polys,864
zed,865
08701417012,866
profit,867
er,868
mw,869
filled,870
tuth,871
wen,872
v,873
everything,874
miss,875
value,876
people,877
realized,878
their,879
absence,880
7250i,881
auction,882
86021,883
hgsuite3422lands,884
roww1jhl,885
which,886
weird,887
because,888
point,889
exam,890
march,891
3,892
aiyo,893
lesson,894
early,895
sleepin,896
haha,897
okie,898
liao,899
den,900
confirm,901
mayb,902
ure,903
rite,904
being,905
someone,906
faster,907
find,908
gals,909
group,910
attached,911
guys,912
dolls,913
patrick,914
swayze,915
nah,916
goin,917
wrks,918
j,919
wot,920
bout,921
inpersonation,922
flea,923
forums,924
dad,925
pick,926
stay,927
until,928
6,929
meh,930
heard,931
tired,932
guess,933
busy,934
sms,935
del,936
thurs,937
they,938
released,939
italian,940
cosign,941
option,942
thank,943
fret,944
ovulation,945
strips,946
til,947
postal,948
addressull,949
alrightokay,950
available,951
soiree,952
june,953
3rd,954
tmr,955
brin,956
aiya,957
neva,958
properly,959
sheet,960
hmm,961
bits,962
pieces,963
sighs,964
continued,965
support,966
question,967
enter,968
in2,969
president,970
surly,971
while,972
coming,973
review,974
thru,975
different,976
feelingwavering,977
decisions,978
coping,979
same,980
individualtime,981
heal,982
believe,983
tomarrow,984
final,985
hearing,986
laptop,987
case,988
urgent,989
unclaimed,990
09066368327,991
closingdate040902,992
claimcode,993
m39m51,994
ï¿½150pmmorefrommobile2bremovedmobypobox734ls27yf,995
sunshine,996
quiz,997
super,998
sony,999
dvd,1000
recorder,1001
canname,1002
capital,1003
australia,1004
mquiz,1005
82277,1006
opinion,1007
jada,1008
kusruthi,1009
lovable,1010
silent,1011
spl,1012
character,1013
7,1014
matured,1015
8,1016
stylish,1017
9,1018
simple,1019
use,1020
lucky,1021
told,1022
earlier,1023
pple,1024
again,1025
laid,1026
locations,1027
direct,1028
largest,1029
network,1030
moan,1031
69888nyt,1032
ec2a,1033
31pmsg150p,1034
ssnervous,1035
